episode,episode_reward,episode_len,epsilon,loss
0,0.5,3,0.9999683333333333,
1,3.0,7,0.9999366666666667,
2,-0.5,3,0.999905,
3,-3.0,7,0.9998733333333334,
4,0.5,3,0.9998416666666667,
5,-1.0,5,0.9998100000000001,
6,-3.0,8,0.9997783333333334,
7,0.5,3,0.9997466666666668,
8,-0.5,3,0.9997150000000001,
9,0.5,3,0.9996833333333335,
10,0.5,3,0.9996516666666668,
11,-0.5,3,0.9996200000000002,
12,-1.0,6,0.9995883333333335,
13,-5.0,8,0.9995566666666669,
14,1.0,4,0.9995250000000002,
15,1.0,4,0.9994933333333336,
16,0.0,8,0.9994616666666669,
17,-3.0,6,0.9994300000000003,
18,0.5,3,0.9993983333333336,
19,-4.0,7,0.999366666666667,
20,-0.5,3,0.9993350000000003,
21,-1.0,4,0.9993033333333337,
22,-0.5,3,0.999271666666667,
23,-2.0,5,0.9992400000000004,2.7164957523345947
24,-0.5,3,0.9992083333333337,2.6056230068206787
25,1.0,4,0.999176666666667,2.341362714767456
26,7.0,8,0.9991450000000004,2.4201273322105408
27,-0.5,3,0.9991133333333337,3.055580735206604
28,-0.5,3,0.9990816666666671,2.2141292095184326
29,-2.0,7,0.9990500000000004,2.7896953423817954
30,-1.0,6,0.9990183333333338,2.0682605107625327
31,3.0,7,0.9989866666666671,1.7285046577453613
32,0.5,3,0.9989550000000005,2.4225566387176514
33,1.0,6,0.9989233333333338,1.4508588314056396
34,-1.0,4,0.9988916666666672,1.624176025390625
35,-2.0,6,0.9988600000000005,1.2093300422032673
36,-1.0,4,0.9988283333333339,1.3224183917045593
37,0.0,8,0.9987966666666672,0.9947253912687302
38,-3.0,9,0.9987650000000006,1.0257756233215332
39,0.0,6,0.9987333333333339,0.9903114040692648
40,-1.0,4,0.9987016666666673,0.9009695649147034
41,-5.0,8,0.9986700000000006,0.595363050699234
42,0.5,3,0.998638333333334,0.45544862747192383
43,-1.0,4,0.9986066666666673,0.514338031411171
44,-2.0,5,0.9985750000000007,0.4150732358296712
45,0.5,3,0.998543333333334,0.29981231689453125
46,-2.0,5,0.9985116666666674,0.2562948664029439
47,-2.0,5,0.9984800000000007,0.2556999425093333
48,-1.0,4,0.998448333333334,0.24124779552221298
49,-1.0,5,0.9984166666666674,0.23817300299803415
50,-2.0,5,0.9983850000000007,0.10089884450038274
51,-2.0,5,0.9983533333333341,0.14645818372567496
52,-2.0,5,0.9983216666666674,0.13035334895054498
53,2.0,6,0.9982900000000008,0.1023641104499499
54,-0.5,3,0.9982583333333341,0.14528287202119827
55,5.0,8,0.9982266666666675,0.3667664285749197
56,-2.0,5,0.9981950000000008,0.5522071464608113
57,0.5,3,0.9981633333333342,0.7084271311759949
58,6.0,8,0.9981316666666675,0.48453161120414734
59,0.5,3,0.9981000000000009,1.882446527481079
60,-0.5,3,0.9980683333333342,1.1111601144075394
61,-6.0,7,0.9980366666666676,0.8287142813205719
62,4.0,7,0.9980050000000009,2.903489669164022
63,-3.0,6,0.9979733333333343,2.238155722618103
64,3.0,7,0.9979416666666676,0.851439505815506
65,-4.0,6,0.997910000000001,1.3840894103050232
66,-0.5,3,0.9978783333333343,2.018211305141449
67,0.5,3,0.9978466666666677,0.5608487725257874
68,4.0,7,0.997815000000001,0.7235709130764008
69,-0.5,3,0.9977833333333344,0.7024555876851082
70,-0.5,3,0.9977516666666677,1.2809031009674072
71,-0.5,3,0.997720000000001,0.17593268305063248
72,-1.0,6,0.9976883333333344,0.967986136674881
73,-0.5,3,0.9976566666666677,0.14983079954981804
74,-2.0,6,0.9976250000000011,1.1376489003499348
75,-1.0,5,0.9975933333333344,0.1738882785042127
76,-0.5,3,0.9975616666666678,0.16062241792678833
77,1.0,4,0.9975300000000011,0.9030959755182266
78,0.0,7,0.9974983333333345,0.9675579592585564
79,-5.0,9,0.9974666666666678,0.6973192185163498
80,-1.0,4,0.9974350000000012,0.4141845926642418
81,-1.0,6,0.9974033333333345,0.9698420564333597
82,0.5,3,0.9973716666666679,0.13834980130195618
83,1.0,6,0.9973400000000012,1.0674899419148762
84,-3.0,8,0.9973083333333346,0.4252488650381565
85,0.0,7,0.9972766666666679,0.4102615068356196
86,0.0,6,0.9972450000000013,0.5411887268225352
87,1.0,4,0.9972133333333346,0.19948654994368553
88,-0.5,3,0.997181666666668,0.40753623843193054
89,0.5,3,0.9971500000000013,0.14427046477794647
90,0.5,3,0.9971183333333347,0.1844322383403778
91,4.0,6,0.997086666666668,0.3458562095959981
92,-1.0,4,0.9970550000000014,0.1605348363518715
93,0.5,3,0.9970233333333347,0.0706394836306572
94,-0.5,3,0.996991666666668,0.06305655650794506
95,-0.5,3,0.9969600000000014,0.1519152596592903
96,-3.0,8,0.9969283333333347,0.36328181251883507
97,0.0,7,0.9968966666666681,0.7029522061347961
98,-0.5,3,0.9968650000000014,0.5430178940296173
99,-1.0,4,0.9968333333333348,0.06702510267496109
100,1.0,4,0.9968016666666681,0.090852752327919
101,0.5,3,0.9967700000000015,0.09359623491764069
102,-1.0,5,0.9967383333333348,0.25217022001743317
103,1.0,6,0.9967066666666682,0.08220222592353821
104,1.0,6,0.9966750000000015,0.057431851824124656
105,4.0,6,0.9966433333333349,0.2261773223678271
106,-0.5,3,0.9966116666666682,0.3514337092638016
107,-0.5,3,0.9965800000000016,0.24809156358242035
108,-2.0,6,0.9965483333333349,0.20258046935002008
109,-0.5,3,0.9965166666666683,0.17632689327001572
110,-2.0,7,0.9964850000000016,0.1283762939274311
111,-1.0,4,0.996453333333335,0.10286593809723854
112,-0.5,3,0.9964216666666683,0.20356274768710136
113,0.5,3,0.9963900000000017,0.07633141428232193
114,1.0,4,0.996358333333335,0.14436834678053856
115,-2.0,5,0.9963266666666684,0.14136979977289835
116,-1.0,5,0.9962950000000017,0.13885364929835
117,1.0,6,0.996263333333335,0.0917416624724865
118,-3.0,6,0.9962316666666684,0.097025066614151
119,1.0,4,0.9962000000000018,0.13252495974302292
120,-1.0,6,0.9961683333333351,0.11029756690065066
121,-0.5,3,0.9961366666666684,0.11214189976453781
122,0.5,3,0.9961050000000018,0.1106807142496109
123,1.0,6,0.9960733333333351,0.12403406202793121
124,0.5,3,0.9960416666666685,0.10202689468860626
125,7.0,8,0.9960100000000018,0.10998924449086189
126,1.0,6,0.9959783333333352,0.1363078107436498
127,-1.0,4,0.9959466666666685,0.14944103360176086
128,3.0,6,0.9959150000000019,0.6942839026451111
129,2.0,7,0.9958833333333352,0.20051692426204681
130,-0.5,3,0.9958516666666686,0.20117786899209023
131,-1.0,4,0.9958200000000019,0.1403186395764351
132,-0.5,3,0.9957883333333353,0.17246833443641663
