episode,episode_reward,episode_len,epsilon,loss
0,5.0,7,0.9999920833333333,
1,0.5,3,0.9999841666666667,
2,1.0,4,0.99997625,
3,-1.0,4,0.9999683333333333,
4,0.5,3,0.9999604166666667,
5,-0.5,3,0.9999525,
6,-1.0,4,0.9999445833333334,
7,-1.0,4,0.9999366666666667,
8,-0.5,3,0.99992875,
9,0.5,3,0.9999208333333334,
10,0.5,3,0.9999129166666667,
11,2.0,6,0.999905,
12,-4.0,7,0.9998970833333334,
13,0.5,3,0.9998891666666667,
14,1.0,4,0.99988125,
15,-0.5,3,0.9998733333333334,
16,-3.0,6,0.9998654166666667,
17,0.5,3,0.9998575000000001,
18,4.0,7,0.9998495833333334,
19,-0.5,3,0.9998416666666667,
20,1.0,4,0.9998337500000001,
21,-3.0,7,0.9998258333333334,
22,-0.5,3,0.9998179166666668,
23,2.0,6,0.9998100000000001,
24,-0.5,3,0.9998020833333334,
25,1.0,6,0.9997941666666668,
26,-1.0,5,0.9997862500000001,
27,-0.5,3,0.9997783333333334,
28,3.0,6,0.9997704166666668,
29,-1.0,4,0.9997625000000001,
30,-1.0,7,0.9997545833333334,
31,1.0,5,0.9997466666666668,
32,0.5,3,0.9997387500000001,
33,3.0,6,0.9997308333333335,
34,0.5,3,0.9997229166666668,
35,2.0,5,0.9997150000000001,
36,0.0,8,0.9997070833333335,
37,1.0,4,0.9996991666666668,
38,2.0,6,0.9996912500000001,
39,2.0,6,0.9996833333333335,
40,3.0,7,0.9996754166666668,
41,2.0,7,0.9996675000000002,
42,-2.0,6,0.9996595833333335,
43,1.0,5,0.9996516666666668,
44,1.0,4,0.9996437500000002,
45,0.5,3,0.9996358333333335,
46,1.0,6,0.9996279166666668,
47,1.0,4,0.9996200000000002,
48,0.5,3,0.9996120833333335,
49,1.0,4,0.9996041666666668,
50,-1.0,6,0.9995962500000002,
51,-2.0,5,0.9995883333333335,
52,-0.5,3,0.9995804166666669,
53,1.0,4,0.9995725000000002,
54,-3.0,7,0.9995645833333335,
55,2.0,5,0.9995566666666669,
56,-0.5,3,0.9995487500000002,
57,0.0,6,0.9995408333333335,
58,-0.5,3,0.9995329166666669,
59,-1.0,4,0.9995250000000002,
60,-2.0,5,0.9995170833333336,
61,-1.0,4,0.9995091666666669,
62,0.5,3,0.9995012500000002,
63,1.0,6,0.9994933333333336,
64,3.0,7,0.9994854166666669,
65,2.0,5,0.9994775000000002,
66,-2.0,5,0.9994695833333336,
67,0.5,3,0.9994616666666669,
68,-3.0,8,0.9994537500000003,
69,-2.0,5,0.9994458333333336,
70,-1.0,5,0.9994379166666669,
71,-0.5,3,0.9994300000000003,
72,-2.0,5,0.9994220833333336,
73,1.0,4,0.9994141666666669,
74,-1.0,4,0.9994062500000003,
75,-0.5,3,0.9993983333333336,
76,-0.5,3,0.999390416666667,
77,-0.5,3,0.9993825000000003,
78,-1.0,4,0.9993745833333336,
79,1.0,4,0.999366666666667,
80,0.5,3,0.9993587500000003,
81,0.5,3,0.9993508333333336,
82,-2.0,6,0.999342916666667,
83,-0.5,3,0.9993350000000003,
84,0.5,3,0.9993270833333336,
85,-1.0,4,0.999319166666667,
86,0.0,6,0.9993112500000003,
87,-2.0,5,0.9993033333333337,
88,-0.5,3,0.999295416666667,
89,4.0,7,0.9992875000000003,
90,1.0,5,0.9992795833333337,
91,0.5,3,0.999271666666667,
92,-1.0,4,0.9992637500000003,
93,-5.0,8,0.9992558333333337,
94,1.0,4,0.999247916666667,
95,-0.5,3,0.9992400000000004,
96,0.5,3,0.9992320833333337,
97,-5.0,8,0.999224166666667,
98,-2.0,5,0.9992162500000004,
99,0.5,3,0.9992083333333337,
100,0.0,8,0.999200416666667,
101,0.5,3,0.9991925000000004,
102,-0.5,3,0.9991845833333337,
103,-1.0,4,0.999176666666667,
104,3.0,6,0.9991687500000004,
105,1.0,4,0.9991608333333337,
106,-0.5,3,0.9991529166666671,
107,-2.0,5,0.9991450000000004,
108,2.0,5,0.9991370833333337,
109,-1.0,6,0.9991291666666671,
110,-0.5,3,0.9991212500000004,
111,2.0,5,0.9991133333333337,
112,2.0,6,0.9991054166666671,
113,-1.0,4,0.9990975000000004,
114,-0.5,3,0.9990895833333338,
115,-0.5,3,0.9990816666666671,
116,-0.5,3,0.9990737500000004,
117,1.0,4,0.9990658333333338,
118,-1.0,4,0.9990579166666671,
119,5.0,7,0.9990500000000004,
120,2.0,5,0.9990420833333338,
121,-2.0,7,0.9990341666666671,
122,3.0,7,0.9990262500000004,
123,-0.5,3,0.9990183333333338,
124,0.5,3,0.9990104166666671,
125,0.5,3,0.9990025000000005,
126,1.0,4,0.9989945833333338,
127,1.0,5,0.9989866666666671,
128,6.0,7,0.9989787500000005,
129,0.5,3,0.9989708333333338,
130,-2.0,5,0.9989629166666671,
131,0.5,3,0.9989550000000005,
132,-0.5,3,0.9989470833333338,
133,-1.0,5,0.9989391666666672,
134,1.0,6,0.9989312500000005,
135,-1.0,5,0.9989233333333338,
136,-1.0,4,0.9989154166666672,
137,2.0,6,0.9989075000000005,
138,4.0,7,0.9988995833333338,
139,2.0,5,0.9988916666666672,
140,0.5,3,0.9988837500000005,
141,-5.0,7,0.9988758333333339,
142,0.0,7,0.9988679166666672,
143,-0.5,3,0.9988600000000005,
144,2.0,5,0.9988520833333339,
145,0.5,3,0.9988441666666672,
146,1.0,5,0.9988362500000005,
147,0.5,3,0.9988283333333339,
148,-3.0,6,0.9988204166666672,
149,1.0,4,0.9988125000000005,
150,1.0,4,0.9988045833333339,
151,2.0,7,0.9987966666666672,
152,-0.5,3,0.9987887500000006,
153,1.0,6,0.9987808333333339,
154,3.0,7,0.9987729166666672,
155,0.5,3,0.9987650000000006,
156,0.5,3,0.9987570833333339,
157,-4.0,7,0.9987491666666672,
158,-3.0,7,0.9987412500000006,
159,-0.5,3,0.9987333333333339,
160,2.0,5,0.9987254166666673,
161,1.0,4,0.9987175000000006,
162,-1.0,4,0.9987095833333339,
163,1.0,4,0.9987016666666673,
164,2.0,6,0.9986937500000006,
165,0.5,3,0.9986858333333339,
166,-2.0,7,0.9986779166666673,
167,-2.0,5,0.9986700000000006,
168,-1.0,6,0.998662083333334,
169,-0.5,3,0.9986541666666673,
170,-2.0,5,0.9986462500000006,
171,-2.0,6,0.998638333333334,
172,-2.0,6,0.9986304166666673,
173,-1.0,4,0.9986225000000006,
174,-1.0,4,0.998614583333334,
175,-1.0,4,0.9986066666666673,
176,6.0,8,0.9985987500000006,
177,0.0,6,0.998590833333334,
178,-1.0,4,0.9985829166666673,
179,0.5,3,0.9985750000000007,
180,-2.0,5,0.998567083333334,
181,1.0,4,0.9985591666666673,
182,1.0,4,0.9985512500000007,
183,6.0,8,0.998543333333334,
184,-1.0,5,0.9985354166666673,
185,-2.0,5,0.9985275000000007,
186,-2.0,5,0.998519583333334,
187,-1.0,4,0.9985116666666674,
188,3.0,7,0.9985037500000007,
189,-0.5,3,0.998495833333334,
190,-0.5,3,0.9984879166666674,
191,-2.0,6,0.9984800000000007,
192,0.5,3,0.998472083333334,
193,-0.5,3,0.9984641666666674,
194,-5.0,8,0.9984562500000007,
195,2.0,5,0.998448333333334,
196,-1.0,4,0.9984404166666674,
197,-1.0,6,0.9984325000000007,
198,2.0,5,0.9984245833333341,
199,2.0,6,0.9984166666666674,
200,0.5,3,0.9984087500000007,
201,-2.0,5,0.9984008333333341,
202,-2.0,5,0.9983929166666674,
203,3.0,6,0.9983850000000007,
204,-2.0,6,0.9983770833333341,
205,-0.5,3,0.9983691666666674,
206,2.0,6,0.9983612500000008,
207,1.0,4,0.9983533333333341,
208,-1.0,5,0.9983454166666674,
209,0.0,7,0.9983375000000008,
210,-0.5,3,0.9983295833333341,
211,0.5,3,0.9983216666666674,
212,1.0,4,0.9983137500000008,
213,1.0,6,0.9983058333333341,
214,-1.0,4,0.9982979166666675,
215,1.0,4,0.9982900000000008,
216,3.0,6,0.9982820833333341,
217,-1.0,4,0.9982741666666675,
218,-2.0,6,0.9982662500000008,
219,-0.5,3,0.9982583333333341,
220,1.0,4,0.9982504166666675,2.680168628692627
221,1.0,5,0.9982425000000008,2.583407759666443
222,2.0,6,0.9982345833333341,2.4373202323913574
223,0.5,3,0.9982266666666675,2.325723886489868
224,-1.0,4,0.9982187500000008,2.239340662956238
225,1.0,6,0.9982108333333342,2.086639881134033
226,-1.0,4,0.9982029166666675,1.92220801115036
227,-1.0,5,0.9981950000000008,1.74580184618632
228,0.5,3,0.9981870833333342,1.598151683807373
229,-0.5,3,0.9981791666666675,1.4855501651763916
230,-1.0,4,0.9981712500000008,1.337513267993927
231,-0.5,3,0.9981633333333342,1.1972955465316772
232,-0.5,3,0.9981554166666675,1.0705581307411194
233,0.5,3,0.9981475000000009,0.9874600768089294
234,2.0,6,0.9981395833333342,0.8991859157880148
235,1.0,5,0.9981316666666675,0.812576174736023
236,-2.0,6,0.9981237500000009,0.7382993300755819
237,-0.5,3,0.9981158333333342,0.6552848219871521
238,-1.0,4,0.9981079166666675,0.5804106295108795
239,-0.5,3,0.9981000000000009,0.5056764334440231
240,-1.0,6,0.9980920833333342,0.4199161231517792
241,-3.0,7,0.9980841666666675,0.3175724546114604
242,-3.0,7,0.9980762500000009,0.2406291514635086
243,0.5,3,0.9980683333333342,0.20600971579551697
244,0.5,3,0.9980604166666676,0.18738068640232086
245,2.0,6,0.9980525000000009,0.14223810533682504
246,-1.0,4,0.9980445833333342,0.1232616938650608
247,2.0,5,0.9980366666666676,1.617833286523819
248,-0.5,3,0.9980287500000009,1.2092589388291042
249,1.0,4,0.9980208333333342,1.7163448669016361
250,0.5,3,0.9980129166666676,2.121870500346025
251,0.5,3,0.9980050000000009,2.056105352938175
252,1.0,5,0.9979970833333343,1.7759760037064551
253,1.0,6,0.9979891666666676,1.3907283258934815
254,-3.0,6,0.9979812500000009,1.1079345730443795
255,-1.0,4,0.9979733333333343,1.065273605287075
256,-1.0,4,0.9979654166666676,1.2079922817647457
257,-2.0,5,0.9979575000000009,0.8054837301373482
258,-0.5,3,0.9979495833333343,0.5529448315501213
259,0.5,3,0.9979416666666676,1.4144721229871113
260,1.0,4,0.997933750000001,0.890102855861187
261,-1.0,4,0.9979258333333343,0.9423189042136073
262,-1.0,4,0.9979179166666676,0.8900804705917835
263,0.5,3,0.997910000000001,1.0741884857416153
264,1.0,4,0.9979020833333343,0.7365066688507795
265,-0.5,3,0.9978941666666676,0.4906807591517766
266,1.0,4,0.997886250000001,0.5637547532096505
267,2.0,5,0.9978783333333343,0.6770798653364182
268,-3.0,7,0.9978704166666676,0.4106142095157078
269,-3.0,7,0.997862500000001,0.3032810443214008
270,1.0,6,0.9978545833333343,0.23702948136876026
271,0.5,3,0.9978466666666677,0.23714964340130487
272,4.0,6,0.997838750000001,0.18316413896779218
273,-1.0,4,0.9978308333333343,0.15955629292875528
274,-2.0,5,0.9978229166666677,0.11995850056409836
275,-3.0,6,0.997815000000001,0.12307480536401272
276,-1.0,4,0.9978070833333343,0.11423970246687531
277,4.0,6,0.9977991666666677,0.10558857054760058
278,1.0,4,0.997791250000001,0.11499940976500511
279,-1.0,4,0.9977833333333344,0.09417111705988646
280,0.5,3,0.9977754166666677,0.1126109038790067
281,-2.0,5,0.997767500000001,0.07296036714687944
282,1.0,5,0.9977595833333344,0.09109188690781593
283,3.0,7,0.9977516666666677,0.15061322386775697
284,3.0,7,0.997743750000001,0.2077089548110962
285,0.5,3,0.9977358333333344,0.16765262683232626
286,1.0,5,0.9977279166666677,0.12368075400590897
287,-1.0,4,0.997720000000001,0.1619674451649189
288,-2.0,6,0.9977120833333344,0.14510555441180864
289,1.0,4,0.9977041666666677,0.11407545767724514
290,2.0,5,0.9976962500000011,0.12008143216371536
291,1.0,4,0.9976883333333344,0.09750616550445557
292,-2.0,5,0.9976804166666677,0.08383407443761826
293,-0.5,3,0.9976725000000011,0.10014260808626811
