episode,episode_reward,episode_len,epsilon,loss
0,-3.0,6,0.9999920833333333,
1,-4.0,8,0.9999841666666667,
2,-2.0,6,0.99997625,
3,-3.0,6,0.9999683333333333,
4,-3.0,8,0.9999604166666667,
5,-1.0,5,0.9999525,
6,-1.0,4,0.9999445833333334,
7,2.0,7,0.9999366666666667,
8,6.0,7,0.99992875,
9,-4.0,6,0.9999208333333334,
10,1.0,5,0.9999129166666667,
11,-0.5,3,0.999905,
12,1.0,4,0.9998970833333334,
13,-1.0,4,0.9998891666666667,
14,-1.0,5,0.99988125,
15,3.0,6,0.9998733333333334,
16,0.5,3,0.9998654166666667,
17,-1.0,4,0.9998575000000001,
18,1.0,5,0.9998495833333334,
19,-0.5,3,0.9998416666666667,
20,3.0,6,0.9998337500000001,
21,-1.0,4,0.9998258333333334,
22,-0.5,3,0.9998179166666668,
23,6.0,8,0.9998100000000001,
24,1.0,4,0.9998020833333334,
25,-0.5,3,0.9997941666666668,
26,4.0,6,0.9997862500000001,
27,-0.5,3,0.9997783333333334,
28,2.0,6,0.9997704166666668,
29,2.0,5,0.9997625000000001,
30,-0.5,3,0.9997545833333334,
31,-1.0,4,0.9997466666666668,
32,0.5,3,0.9997387500000001,
33,1.0,4,0.9997308333333335,
34,1.0,5,0.9997229166666668,
35,-3.0,6,0.9997150000000001,
36,0.5,3,0.9997070833333335,
37,-1.0,5,0.9996991666666668,
38,1.0,4,0.9996912500000001,
39,-1.0,5,0.9996833333333335,
40,-1.0,6,0.9996754166666668,
41,0.5,3,0.9996675000000002,
42,1.0,6,0.9996595833333335,
43,-1.0,4,0.9996516666666668,
44,0.0,8,0.9996437500000002,
45,-2.0,6,0.9996358333333335,
46,-0.5,3,0.9996279166666668,
47,-2.0,5,0.9996200000000002,
48,-2.0,7,0.9996120833333335,
49,1.0,4,0.9996041666666668,
50,-0.5,3,0.9995962500000002,
51,-0.5,3,0.9995883333333335,
52,1.0,6,0.9995804166666669,
53,-2.0,5,0.9995725000000002,
54,-2.0,5,0.9995645833333335,
55,-2.0,6,0.9995566666666669,
56,1.0,4,0.9995487500000002,
57,-1.0,6,0.9995408333333335,
58,1.0,4,0.9995329166666669,
59,0.5,3,0.9995250000000002,
60,-0.5,3,0.9995170833333336,
61,0.5,3,0.9995091666666669,
62,0.5,3,0.9995012500000002,
63,2.0,6,0.9994933333333336,
