episode,episode_reward,episode_len,epsilon,loss
0,0.5,3,0.9999683333333333,
1,3.0,7,0.9999366666666667,
2,-0.5,3,0.999905,
3,-3.0,7,0.9998733333333334,
4,0.5,3,0.9998416666666667,
5,-1.0,5,0.9998100000000001,
6,-3.0,8,0.9997783333333334,
7,0.5,3,0.9997466666666668,
8,-0.5,3,0.9997150000000001,
9,0.5,3,0.9996833333333335,
10,0.5,3,0.9996516666666668,
11,-0.5,3,0.9996200000000002,
12,-1.0,6,0.9995883333333335,
13,-5.0,8,0.9995566666666669,
14,1.0,4,0.9995250000000002,
15,1.0,4,0.9994933333333336,
16,0.0,8,0.9994616666666669,
17,-3.0,6,0.9994300000000003,
18,0.5,3,0.9993983333333336,
19,-4.0,7,0.999366666666667,
20,-0.5,3,0.9993350000000003,
21,-1.0,4,0.9993033333333337,
22,-0.5,3,0.999271666666667,
23,-2.0,5,0.9992400000000004,2.865798234939575
24,-0.5,3,0.9992083333333337,2.7790859937667847
25,1.0,4,0.999176666666667,2.625642418861389
26,7.0,8,0.9991450000000004,2.718539237976074
27,-0.5,3,0.9991133333333337,3.6155033111572266
28,-0.5,3,0.9990816666666671,3.037543773651123
29,-2.0,7,0.9990500000000004,3.355111916859945
30,-1.0,6,0.9990183333333338,3.0119234720865884
31,3.0,7,0.9989866666666671,2.2091992298762
32,0.5,3,0.9989550000000005,2.7121024131774902
33,1.0,6,0.9989233333333338,2.4723581075668335
34,-1.0,4,0.9988916666666672,1.0362870693206787
35,-2.0,6,0.9988600000000005,1.7896198431650798
36,-1.0,4,0.9988283333333339,1.4299916625022888
37,0.0,8,0.9987966666666672,0.856029212474823
38,-3.0,9,0.9987650000000006,1.1155778527259828
39,0.0,6,0.9987333333333339,1.0683549841245015
40,-1.0,4,0.9987016666666673,0.3861245661973953
41,-5.0,8,0.9986700000000006,0.7081360220909119
42,0.5,3,0.998638333333334,0.5234882235527039
43,-1.0,4,0.9986066666666673,1.5086523294448853
44,-2.0,5,0.9985750000000007,1.0172069072723389
45,0.5,3,0.998543333333334,0.5900715589523315
46,-2.0,5,0.9985116666666674,1.0359140634536743
47,-2.0,5,0.9984800000000007,1.0739194353421528
48,-1.0,4,0.998448333333334,0.20602287352085114
49,-1.0,5,0.9984166666666674,0.6294404069582621
50,-2.0,5,0.9983850000000007,0.5759312212467194
51,-2.0,5,0.9983533333333341,0.28542643288771313
52,-2.0,5,0.9983216666666674,0.3224252810080846
53,2.0,6,0.9982900000000008,0.189071553448836
54,-0.5,3,0.9982583333333341,0.3271017521619797
55,5.0,8,0.9982266666666675,0.5999262183904648
56,-2.0,5,0.9981950000000008,0.6773722022771835
57,0.5,3,0.9981633333333342,0.19841091334819794
58,6.0,8,0.9981316666666675,0.7833372391760349
59,0.5,3,0.9981000000000009,1.2125920057296753
60,-0.5,3,0.9980683333333342,1.0617996156215668
61,-6.0,7,0.9980366666666676,1.0321729679902394
62,4.0,7,0.9980050000000009,1.4057328502337139
63,-3.0,6,0.9979733333333343,1.8185134728749592
64,3.0,7,0.9979416666666676,1.4391348014275234
65,-4.0,6,0.997910000000001,2.73541921377182
66,-0.5,3,0.9978783333333343,1.9649285972118378
67,0.5,3,0.9978466666666677,3.7094507217407227
68,4.0,7,0.997815000000001,1.5010325461626053
69,-0.5,3,0.9977833333333344,0.5152660384774208
70,-0.5,3,0.9977516666666677,1.9698708057403564
71,-0.5,3,0.997720000000001,1.1445270776748657
72,-1.0,6,0.9976883333333344,1.3961704075336456
73,-0.5,3,0.9976566666666677,2.992058277130127
74,-2.0,6,0.9976250000000011,1.1609589134653409
75,-1.0,5,0.9975933333333344,1.38865793744723
76,-0.5,3,0.9975616666666678,0.33411701023578644
77,1.0,4,0.9975300000000011,1.6845983006060123
78,0.0,7,0.9974983333333345,0.4758219321568807
79,-5.0,9,0.9974666666666678,1.523763406276703
80,-1.0,4,0.9974350000000012,0.09268822893500328
81,-1.0,6,0.9974033333333345,0.29752253989378613
82,0.5,3,0.9973716666666679,0.2145165503025055
83,1.0,6,0.9973400000000012,0.8968291083971659
84,-3.0,8,0.9973083333333346,0.8737953156232834
85,0.0,7,0.9972766666666679,0.6529075503349304
86,0.0,6,0.9972450000000013,0.947775532801946
87,1.0,4,0.9972133333333346,0.14722111821174622
88,-0.5,3,0.997181666666668,0.1568252220749855
89,0.5,3,0.9971500000000013,1.5899326801300049
90,0.5,3,0.9971183333333347,0.2127055823802948
91,4.0,6,0.997086666666668,0.4069720556338628
92,-1.0,4,0.9970550000000014,0.5584843754768372
93,0.5,3,0.9970233333333347,0.8534974455833435
94,-0.5,3,0.996991666666668,0.9135231003165245
95,-0.5,3,0.9969600000000014,0.9319717660546303
96,-3.0,8,0.9969283333333347,0.7698968388140202
97,0.0,7,0.9968966666666681,0.4691428542137146
98,-0.5,3,0.9968650000000014,0.8332031518220901
99,-1.0,4,0.9968333333333348,0.9742005467414856
100,1.0,4,0.9968016666666681,0.51290163397789
101,0.5,3,0.9967700000000015,0.8254438638687134
102,-1.0,5,0.9967383333333348,0.5371342947085699
103,1.0,6,0.9967066666666682,0.36569927881161374
104,1.0,6,0.9966750000000015,0.6474971920251846
105,4.0,6,0.9966433333333349,1.3137930730978649
106,-0.5,3,0.9966116666666682,0.1038757935166359
107,-0.5,3,0.9965800000000016,0.4837064556777477
108,-2.0,6,0.9965483333333349,0.8105869094530741
109,-0.5,3,0.9965166666666683,0.7717951610684395
110,-2.0,7,0.9964850000000016,0.4342802222818136
111,-1.0,4,0.996453333333335,0.6490027531981468
112,-0.5,3,0.9964216666666683,0.5962110534310341
113,0.5,3,0.9963900000000017,0.06499849259853363
114,1.0,4,0.996358333333335,0.5581109151244164
115,-2.0,5,0.9963266666666684,1.3719770188132923
116,-1.0,5,0.9962950000000017,0.2656867404778798
117,1.0,6,0.996263333333335,0.7161651353041331
118,-3.0,6,0.9962316666666684,0.5043328752120336
119,1.0,4,0.9962000000000018,0.4639345034956932
120,-1.0,6,0.9961683333333351,0.41649434715509415
121,-0.5,3,0.9961366666666684,0.10126737877726555
122,0.5,3,0.9961050000000018,0.031079566106200218
123,1.0,6,0.9960733333333351,0.14375484983126322
124,0.5,3,0.9960416666666685,0.11968877911567688
125,7.0,8,0.9960100000000018,0.3088304102420807
126,1.0,6,0.9959783333333352,0.9245192781090736
127,-1.0,4,0.9959466666666685,0.45406836457550526
128,3.0,6,0.9959150000000019,0.14217545092105865
129,2.0,7,0.9958833333333352,0.8857511430978775
130,-0.5,3,0.9958516666666686,0.9133246801793575
131,-1.0,4,0.9958200000000019,0.07913268357515335
132,-0.5,3,0.9957883333333353,0.7736175358295441
