episode,frames,episode_reward,episode_len,epsilon,loss,success
1,100,0,100,0.9994722222222222,0.00013591380081999122,0
2,200,0,100,0.9989444444444444,3.891359579029085e-05,0
3,300,0,100,0.9984166666666666,3.279703647422139e-05,0
4,400,0,100,0.9978888888888889,2.8950081987204612e-05,0
5,500,0,100,0.9973611111111111,2.6971591996698407e-05,0
6,600,0,100,0.9968333333333333,2.0425795946721335e-05,0
7,700,0,100,0.9963055555555556,2.02743085583279e-05,0
8,800,0,100,0.9957777777777778,2.5452131608290075e-05,0
9,900,0,100,0.99525,2.28500681805599e-05,0
10,1000,0,100,0.9947222222222222,2.04226118967199e-05,0
11,1100,0,100,0.9941944444444445,0.00013192787369916914,0
12,1200,0,100,0.9936666666666667,2.0991206322378276e-05,0
13,1300,0,100,0.9931388888888889,9.480277203692821e-06,0
14,1400,0,100,0.9926111111111111,6.976663651130366e-06,0
15,1500,0,100,0.9920833333333333,7.425939670611114e-06,0
16,1600,0,100,0.9915555555555555,9.521716276594815e-06,0
17,1700,0,100,0.9910277777777777,7.3613500183000725e-06,0
18,1800,0,100,0.9905,7.709771623467531e-06,0
19,1900,0,100,0.9899722222222223,7.022597546892939e-06,0
20,2000,0,100,0.9894444444444445,5.341577647186568e-06,0
21,2100,0,100,0.9889166666666667,9.435056514121242e-05,0
22,2200,0,100,0.9883888888888889,2.6232353757222882e-05,0
23,2300,0,100,0.9878611111111111,1.5306690634133702e-05,0
24,2400,0,100,0.9873333333333333,1.4330196777336823e-05,0
25,2500,0,100,0.9868055555555556,6.940929324628087e-06,0
26,2600,0,100,0.9862777777777778,1.0648504214714194e-05,0
27,2700,0,100,0.98575,7.597499592293388e-06,0
28,2800,0,100,0.9852222222222222,7.102624335857399e-06,0
29,2858,0.478,58,0.9849161111111111,1.0574193711049858e-05,1
30,2958,0,100,0.9843883333333333,7.399434953981653e-05,0
31,3058,0,100,0.9838605555555555,0.00011864048471124989,0
32,3158,0,100,0.9833327777777778,7.073293137182191e-05,0
33,3258,0,100,0.982805,3.1046915551087296e-05,0
34,3358,0,100,0.9822772222222222,3.7540962043749456e-05,0
35,3458,0,100,0.9817494444444445,1.3306561286299256e-05,0
36,3501,0.613,43,0.9815225,1.1494329862406906e-05,1
37,3601,0,100,0.9809947222222222,8.964031879941103e-06,0
38,3683,0.262,82,0.9805619444444444,8.904457586584436e-06,1
39,3783,0,100,0.9800341666666667,0.00010084790394557786,0
40,3883,0,100,0.9795063888888889,2.2785151691095963e-05,0
41,3983,0,100,0.9789786111111111,6.520628845009924e-05,0
42,4083,0,100,0.9784508333333334,0.00018484209719190402,0
43,4183,0,100,0.9779230555555556,0.00012023102514831408,0
44,4283,0,100,0.9773952777777778,5.5525202424178135e-05,0
45,4383,0,100,0.9768675,4.9751902215575685e-05,0
46,4417,0.694,34,0.9766880555555556,6.355789128065226e-05,1
47,4517,0,100,0.9761602777777778,0.00015325214786116704,0
48,4617,0,100,0.9756325,0.0001161481231883954,0
49,4717,0,100,0.9751047222222222,2.22870175684875e-05,0
50,4817,0,100,0.9745769444444444,0.00012010435303182021,0
51,4917,0,100,0.9740491666666666,3.8026299830562496e-05,0
52,4929,0.892,12,0.9739858333333333,1.7697709381536697e-05,1
53,5029,0,100,0.9734580555555555,0.00031365337687930153,0
54,5129,0,100,0.9729302777777777,0.0003256334563775454,0
55,5229,0,100,0.9724025,0.00020333197797299364,0
56,5329,0,100,0.9718747222222223,0.00026837182536837645,0
57,5429,0,100,0.9713469444444445,0.0001333446798071236,0
58,5529,0,100,0.9708191666666667,6.137119663435442e-05,0
59,5629,0,100,0.9702913888888889,0.00012294564525291206,0
60,5643,0.874,14,0.9702175,0.0003017469893425836,1
61,5645,0.982,2,0.9702069444444444,2.597189995867666e-05,1
62,5745,0,100,0.9696791666666666,0.00044192709404342165,0
63,5845,0,100,0.9691513888888889,0.0006754098602323211,0
64,5945,0,100,0.9686236111111111,0.00020458889520341472,0
65,6045,0,100,0.9680958333333334,0.0005780864841381117,0
66,6145,0,100,0.9675680555555556,0.00044511402185889895,0
67,6180,0.685,35,0.9673833333333334,0.00013741515556050997,1
68,6280,0,100,0.9668555555555556,0.000322765515120409,0
69,6380,0,100,0.9663277777777778,0.00025179016614856664,0
70,6480,0,100,0.9658,0.00041845469349937047,0
71,6580,0,100,0.9652722222222222,0.00022519070769703832,0
72,6680,0,100,0.9647444444444444,0.00011791918798735423,0
73,6780,0,100,0.9642166666666667,0.0001008074137098447,0
74,6880,0,100,0.9636888888888889,0.0001381617842343985,0
75,6980,0,100,0.9631611111111111,8.536997628652898e-05,0
76,7080,0,100,0.9626333333333333,0.0005674071750581788,0
77,7180,0,100,0.9621055555555555,0.0005123396546696312,0
78,7280,0,100,0.9615777777777778,0.00040537136264902075,0
79,7380,0,100,0.96105,0.00018918978024885292,0
80,7480,0,100,0.9605222222222223,0.00028188440592202824,0
81,7580,0,100,0.9599944444444445,0.0001797500907923677,0
82,7680,0,100,0.9594666666666667,0.00014780294288357253,0
83,7780,0,100,0.9589388888888889,0.00014362383271873113,0
84,7880,0,100,0.9584111111111111,0.00012337280459178145,0
85,7980,0,100,0.9578833333333333,8.255184309746255e-05,0
86,8080,0,100,0.9573555555555555,0.0006669235244771698,0
87,8180,0,100,0.9568277777777778,0.0006488478914252482,0
88,8280,0,100,0.9563,0.0005731220477173338,0
89,8380,0,100,0.9557722222222222,0.0004083794740290614,0
90,8480,0,100,0.9552444444444445,0.00026483558489417194,0
91,8509,0.739,29,0.9550913888888889,0.0002283183378588954,1
92,8521,0.892,12,0.9550280555555556,0.0002523383112323548,1
93,8621,0,100,0.9545002777777778,0.00018943490027595544,0
94,8721,0,100,0.9539725,0.00022191771393408998,0
95,8821,0,100,0.9534447222222222,0.0004746138352857088,0
96,8921,0,100,0.9529169444444444,0.0001550758986377332,0
97,9021,0,100,0.9523891666666666,0.0005349740276506055,0
98,9121,0,100,0.9518613888888889,0.0007821058086119592,0
99,9221,0,100,0.9513336111111111,0.0006038348983565811,0
100,9321,0,100,0.9508058333333334,0.00038170286003150975,0
101,9421,0,100,0.9502780555555556,0.0003645970691286493,0
102,9521,0,100,0.9497502777777778,0.00043927928403718396,0
103,9621,0,100,0.9492225,0.00027651625423459337,0
104,9721,0,100,0.9486947222222222,0.0003951733352005249,0
105,9821,0,100,0.9481669444444445,0.00023112768794817385,0
106,9921,0,100,0.9476391666666667,0.00019945933057897492,0
107,10021,0,100,0.9471113888888889,0.0004172630790344556,0
108,10040,0.829,19,0.9470111111111111,0.0010416257979446336,1
109,10140,0,100,0.9464833333333333,0.0010075326413789298,0
110,10240,0,100,0.9459555555555555,0.0006699048182053957,0
111,10259,0.829,19,0.9458552777777778,0.00037429661728980904,1
112,10359,0,100,0.9453275,0.0006057949001842644,0
113,10459,0,100,0.9447997222222222,0.0005085623588820453,0
114,10559,0,100,0.9442719444444444,0.0004351862137991702,0
115,10659,0,100,0.9437441666666667,0.00042425278144946787,0
116,10759,0,100,0.9432163888888889,0.00034925771367852573,0
117,10859,0,100,0.9426886111111111,0.00031090565738850273,0
118,10959,0,100,0.9421608333333333,0.00023370888804493005,0
119,11059,0,100,0.9416330555555555,0.0006601093760036747,0
120,11159,0,100,0.9411052777777777,0.0008151409481070005,0
121,11259,0,100,0.9405775,0.0005801975540089188,0
122,11359,0,100,0.9400497222222223,0.0004486255708616227,0
123,11459,0,100,0.9395219444444445,0.00036889938433887437,0
124,11559,0,100,0.9389941666666667,0.0003991733623115579,0
125,11659,0,100,0.9384663888888889,0.0003446604657074204,0
126,11759,0,100,0.9379386111111111,0.00030744555813726036,0
127,11859,0,100,0.9374108333333333,0.0003162418385909405,0
128,11959,0,100,0.9368830555555555,0.00027269778634945394,0
129,12059,0,100,0.9363552777777777,0.0006259173341095447,0
130,12159,0,100,0.9358275,0.0005934615943988319,0
