episode,frames,episode_reward,episode_len,epsilon,loss,success
1,100,0,100,0.9994722222222222,0.00030575695134335757,0
2,200,0,100,0.9989444444444444,4.705755367922393e-05,0
3,300,0,100,0.9984166666666666,2.755995365077979e-05,0
4,400,0,100,0.9978888888888889,3.330071013351699e-05,0
5,500,0,100,0.9973611111111111,4.7915793693391606e-05,0
6,600,0,100,0.9968333333333333,3.182537436259736e-05,0
7,700,0,100,0.9963055555555556,2.6604528179632326e-05,0
8,800,0,100,0.9957777777777778,1.870447230885475e-05,0
9,900,0,100,0.99525,1.4748605699423934e-05,0
10,1000,0,100,0.9947222222222222,2.5019370473273738e-05,0
11,1100,0,100,0.9941944444444445,8.946673495302093e-05,0
12,1200,0,100,0.9936666666666667,2.185478554565634e-05,0
13,1300,0,100,0.9931388888888889,1.6240158377058833e-05,0
14,1400,0,100,0.9926111111111111,1.4388166214303055e-05,0
15,1500,0,100,0.9920833333333333,1.6970325680176758e-05,0
16,1600,0,100,0.9915555555555555,1.3257372058887995e-05,0
17,1700,0,100,0.9910277777777777,9.526209903469861e-06,0
18,1800,0,100,0.9905,9.344622451408214e-06,0
19,1900,0,100,0.9899722222222223,1.8071707319222697e-05,0
20,2000,0,100,0.9894444444444445,1.863370933733677e-05,0
21,2100,0,100,0.9889166666666667,6.13408797289594e-05,0
22,2200,0,100,0.9883888888888889,2.8778154851352157e-05,0
23,2300,0,100,0.9878611111111111,1.740935756060935e-05,0
24,2400,0,100,0.9873333333333333,1.619723921066907e-05,0
25,2500,0,100,0.9868055555555556,8.719002105408435e-06,0
26,2600,0,100,0.9862777777777778,8.216883963996225e-06,0
27,2700,0,100,0.98575,1.3484373889696144e-05,0
28,2800,0,100,0.9852222222222222,1.07110193812332e-05,0
29,2900,0,100,0.9846944444444444,8.434390663296654e-06,0
30,3000,0,100,0.9841666666666666,1.2567790763569065e-05,0
31,3100,0,100,0.9836388888888888,4.251699498126982e-05,0
32,3200,0,100,0.9831111111111112,2.471076612437173e-05,0
33,3300,0,100,0.9825833333333334,1.3316549070623296e-05,0
34,3400,0,100,0.9820555555555556,2.0894770641461947e-05,0
35,3500,0,100,0.9815277777777778,1.4209467408363708e-05,0
36,3600,0,100,0.981,1.585384977488502e-05,0
37,3700,0,100,0.9804722222222222,1.8365359940162305e-05,0
38,3800,0,100,0.9799444444444444,1.4247294263896037e-05,0
39,3900,0,100,0.9794166666666667,1.6308421040776012e-05,0
40,4000,0,100,0.9788888888888889,1.0612145858885924e-05,0
41,4100,0,100,0.9783611111111111,3.886415094711992e-05,0
42,4200,0,100,0.9778333333333333,2.738042919190775e-05,0
43,4300,0,100,0.9773055555555555,2.326173777873919e-05,0
44,4400,0,100,0.9767777777777777,1.4589275815524161e-05,0
45,4500,0,100,0.97625,2.0760460056408192e-05,0
46,4600,0,100,0.9757222222222223,2.2621576349592942e-05,0
47,4700,0,100,0.9751944444444445,2.3073757033671428e-05,0
48,4800,0,100,0.9746666666666667,1.67665072467571e-05,0
49,4900,0,100,0.9741388888888889,1.9950702655933126e-05,0
50,5000,0,100,0.9736111111111111,1.8561772981229298e-05,0
51,5100,0,100,0.9730833333333333,3.271994171882398e-05,0
52,5200,0,100,0.9725555555555555,2.069778909572051e-05,0
53,5300,0,100,0.9720277777777778,2.5893585393532705e-05,0
54,5400,0,100,0.9715,2.083630495235411e-05,0
55,5500,0,100,0.9709722222222222,1.7627222246119344e-05,0
56,5600,0,100,0.9704444444444444,2.1808532032991934e-05,0
57,5700,0,100,0.9699166666666666,2.7181178941191318e-05,0
58,5800,0,100,0.9693888888888889,2.5682537602733647e-05,0
59,5900,0,100,0.9688611111111111,1.9115747509204084e-05,0
60,6000,0,100,0.9683333333333334,2.13401446694661e-05,0
61,6100,0,100,0.9678055555555556,3.4977275754499713e-05,0
62,6200,0,100,0.9672777777777778,4.090566753802705e-05,0
63,6300,0,100,0.96675,3.301672617453733e-05,0
64,6400,0,100,0.9662222222222222,2.5809598082560114e-05,0
65,6500,0,100,0.9656944444444444,2.275633312365244e-05,0
66,6600,0,100,0.9651666666666666,2.1880267831875243e-05,0
67,6658,0.478,58,0.9648605555555556,2.6249078348036133e-05,1
68,6758,0,100,0.9643327777777778,6.215426985363593e-05,0
69,6858,0,100,0.963805,3.387410052710038e-05,0
70,6958,0,100,0.9632772222222222,2.2735282182111406e-05,0
71,7058,0,100,0.9627494444444444,7.7278262820073e-05,0
72,7158,0,100,0.9622216666666666,4.945395043250755e-05,0
73,7258,0,100,0.9616938888888888,3.5399907733335564e-05,0
74,7358,0,100,0.9611661111111112,4.190202266727283e-05,0
75,7458,0,100,0.9606383333333334,3.307922122075979e-05,0
76,7558,0,100,0.9601105555555556,2.7026333441426686e-05,0
77,7658,0,100,0.9595827777777778,1.9458059045973642e-05,0
78,7758,0,100,0.959055,3.266700491622032e-05,0
79,7858,0,100,0.9585272222222222,3.653378365470417e-05,0
80,7958,0,100,0.9579994444444444,2.6684713511713198e-05,0
81,8058,0,100,0.9574716666666667,3.309502239972062e-05,0
82,8158,0,100,0.9569438888888889,6.204532850460964e-05,0
83,8258,0,100,0.9564161111111111,5.256188691419084e-05,0
84,8358,0,100,0.9558883333333333,3.879685351876105e-05,0
85,8458,0,100,0.9553605555555555,4.290458928153384e-05,0
86,8558,0,100,0.9548327777777778,4.153295936703216e-05,0
87,8658,0,100,0.954305,2.6926835216727342e-05,0
88,8758,0,100,0.9537772222222223,2.924946634720982e-05,0
89,8858,0,100,0.9532494444444445,2.0237323824403574e-05,0
90,8958,0,100,0.9527216666666667,4.078493428551155e-05,0
91,9058,0,100,0.9521938888888889,6.224354336154648e-05,0
92,9158,0,100,0.9516661111111111,5.278956122310774e-05,0
93,9258,0,100,0.9511383333333333,4.4533903073897816e-05,0
94,9358,0,100,0.9506105555555555,4.546914567072235e-05,0
95,9458,0,100,0.9500827777777778,3.169578183133126e-05,0
96,9558,0,100,0.949555,3.736103706614813e-05,0
97,9658,0,100,0.9490272222222222,3.788192029333004e-05,0
98,9758,0,100,0.9484994444444445,2.935417798198614e-05,0
99,9858,0,100,0.9479716666666667,3.680565335343999e-05,0
100,9958,0,100,0.9474438888888889,4.355097944880981e-05,0
101,10058,0,100,0.9469161111111111,6.57058248816611e-05,0
102,10158,0,100,0.9463883333333334,6.65961779486679e-05,0
103,10258,0,100,0.9458605555555556,5.572117573137803e-05,0
104,10358,0,100,0.9453327777777778,6.26748513423081e-05,0
105,10458,0,100,0.944805,5.637612213831744e-05,0
106,10558,0,100,0.9442772222222222,3.9752362399667616e-05,0
107,10658,0,100,0.9437494444444444,3.6842312006228895e-05,0
108,10758,0,100,0.9432216666666666,3.057830057514366e-05,0
109,10858,0,100,0.9426938888888889,3.455548535384878e-05,0
110,10958,0,100,0.9421661111111111,4.1436682686253334e-05,0
111,11058,0,100,0.9416383333333334,6.731297430633277e-05,0
112,11158,0,100,0.9411105555555556,5.775817138783168e-05,0
113,11258,0,100,0.9405827777777778,5.646283188980306e-05,0
114,11358,0,100,0.940055,6.022564803060959e-05,0
115,11458,0,100,0.9395272222222222,4.5366917865976576e-05,0
116,11558,0,100,0.9389994444444445,5.132535005941463e-05,0
117,11658,0,100,0.9384716666666667,6.246596243727254e-05,0
118,11758,0,100,0.9379438888888889,4.167505166151386e-05,0
119,11858,0,100,0.9374161111111111,5.151532976015005e-05,0
120,11958,0,100,0.9368883333333333,4.6334834596564175e-05,0
121,12058,0,100,0.9363605555555555,7.31310675109853e-05,0
122,12158,0,100,0.9358327777777777,7.538014733654563e-05,0
123,12258,0,100,0.935305,7.124366326024756e-05,0
124,12358,0,100,0.9347772222222223,6.60629224148579e-05,0
125,12458,0,100,0.9342494444444445,5.3342240362326266e-05,0
126,12477,0.829,19,0.9341491666666667,5.659437183088525e-05,1
127,12577,0,100,0.9336213888888889,5.871823755114747e-05,0
128,12677,0,100,0.9330936111111111,4.9812723627837844e-05,0
129,12777,0,100,0.9325658333333333,3.922019623132655e-05,0
130,12877,0,100,0.9320380555555555,6.660786746579106e-05,0
131,12977,0,100,0.9315102777777777,5.633612425299361e-05,0
132,12999,0.802,22,0.9313941666666666,0.0007372237837030711,1
133,13099,0,100,0.9308663888888888,0.0001393126926268451,0
134,13199,0,100,0.9303386111111112,8.645120969958952e-05,0
135,13299,0,100,0.9298108333333334,0.0003517375737465045,0
136,13399,0,100,0.9292830555555556,7.954604305268731e-05,0
137,13440,0.631,41,0.9290666666666667,0.0003310879298912435,1
138,13540,0,100,0.9285388888888889,8.495726644468959e-05,0
139,13640,0,100,0.9280111111111111,0.0003096963698226318,0
140,13740,0,100,0.9274833333333333,7.211380387161625e-05,0
141,13840,0,100,0.9269555555555555,0.0001396457669306983,0
142,13940,0,100,0.9264277777777777,8.013060802113615e-05,0
143,14040,0,100,0.9259,0.0001901629039184627,0
144,14140,0,100,0.9253722222222223,0.00012693848915660056,0
145,14240,0,100,0.9248444444444445,9.363510600451263e-05,0
146,14340,0,100,0.9243166666666667,0.00011039218679798068,0
147,14440,0,100,0.9237888888888889,9.398765852893121e-05,0
148,14540,0,100,0.9232611111111111,0.0001277989993832307,0
149,14640,0,100,0.9227333333333333,0.0001272499843253172,0
150,14740,0,100,0.9222055555555555,0.00010116220624695416,0
151,14840,0,100,0.9216777777777778,9.40720008657081e-05,0
152,14940,0,100,0.92115,9.496082690020557e-05,0
153,15040,0,100,0.9206222222222222,0.00015083321795827942,0
154,15140,0,100,0.9200944444444444,0.00018169909282732987,0
155,15240,0,100,0.9195666666666666,0.00013145071783583263,0
156,15294,0.514,54,0.9192816666666667,0.00018258997557428234,1
157,15394,0,100,0.9187538888888889,9.98979411815526e-05,0
158,15494,0,100,0.9182261111111111,0.0001227180469686573,0
159,15594,0,100,0.9176983333333333,0.0001232351318503788,0
160,15619,0.775,25,0.9175663888888889,7.988009165273979e-05,1
161,15719,0,100,0.9170386111111111,7.955023245813208e-05,0
162,15819,0,100,0.9165108333333334,0.00012384670830215328,0
163,15919,0,100,0.9159830555555556,0.00018410964410577434,0
164,16019,0,100,0.9154552777777778,9.448306740523548e-05,0
165,16119,0,100,0.9149275,0.00023101885486539686,0
166,16219,0,100,0.9143997222222222,0.0002125633535979432,0
167,16319,0,100,0.9138719444444444,0.00016027613668484264,0
168,16419,0,100,0.9133441666666666,0.00019062549989030231,0
169,16519,0,100,0.9128163888888889,0.00012149655736720888,0
170,16619,0,100,0.9122886111111111,0.00014868017335174953,0
171,16719,0,100,0.9117608333333334,0.00016742798572522589,0
172,16819,0,100,0.9112330555555556,0.00015368026462965644,0
173,16919,0,100,0.9107052777777778,0.0001511592190581723,0
174,17019,0,100,0.9101775,0.00014132673486528803,0
175,17119,0,100,0.9096497222222222,0.00027941234075115064,0
176,17219,0,100,0.9091219444444445,0.0002106835554150166,0
177,17319,0,100,0.9085941666666667,0.00015326344098866683,0
178,17419,0,100,0.9080663888888889,0.0001452979377245356,0
179,17519,0,100,0.9075386111111111,0.00015190786158200353,0
180,17592,0.34299999999999997,73,0.9071533333333334,0.00013506387070153061,1
181,17692,0,100,0.9066255555555556,0.00012139172920797137,0
182,17792,0,100,0.9060977777777778,0.00014172910568959195,0
183,17892,0,100,0.90557,0.00014013621461344883,0
184,17992,0,100,0.9050422222222222,0.00016160388207936194,0
185,18092,0,100,0.9045144444444444,0.0003415943107029307,0
186,18192,0,100,0.9039866666666667,0.0002269729761610506,0
187,18292,0,100,0.9034588888888889,0.00023128468448703642,0
188,18392,0,100,0.9029311111111111,0.0001957308595228824,0
189,18492,0,100,0.9024033333333333,0.00016211812475376065,0
190,18592,0,100,0.9018755555555555,0.00017035475677403155,0
191,18692,0,100,0.9013477777777777,0.0001682789878032054,0
192,18792,0,100,0.90082,0.0001816849801252829,0
193,18892,0,100,0.9002922222222223,0.00019296267009849544,0
194,18992,0,100,0.8997644444444445,0.0001642089109009248,0
195,19092,0,100,0.8992366666666667,0.00026793050423293605,0
196,19192,0,100,0.8987088888888889,0.0002822828334319638,0
197,19292,0,100,0.8981811111111111,0.00022091446779086256,0
