episode,frames,episode_reward,episode_len,epsilon,loss,success
1,100,0,100,0.9994722222222222,0.00018797178632087088,0
2,114,0.874,14,0.9993983333333334,0.0017815980679318142,1
3,214,0,100,0.9988705555555556,0.001523625386880667,0
4,314,0,100,0.9983427777777778,7.4327422062197e-05,0
5,414,0,100,0.997815,3.775246627810702e-05,0
6,514,0,100,0.9972872222222222,2.0655403241107705e-05,0
7,614,0,100,0.9967594444444444,1.6710373624846398e-05,0
8,714,0,100,0.9962316666666666,2.2999296145371773e-05,0
9,814,0,100,0.9957038888888889,1.340753458407562e-05,0
10,914,0,100,0.9951761111111112,1.2968644471129665e-05,0
11,1014,0,100,0.9946483333333334,8.862253315783164e-05,0
12,1114,0,100,0.9941205555555556,0.000351603011113184,0
13,1214,0,100,0.9935927777777778,8.001440711268515e-05,0
14,1314,0,100,0.993065,3.690319414090482e-05,0
15,1414,0,100,0.9925372222222222,1.8687369220060646e-05,0
16,1514,0,100,0.9920094444444445,2.3090325862540338e-05,0
17,1614,0,100,0.9914816666666667,1.1311763223602611e-05,0
18,1714,0,100,0.9909538888888889,1.0733989197433403e-05,0
19,1814,0,100,0.9904261111111111,1.316814135407185e-05,0
20,1914,0,100,0.9898983333333333,8.16810037349569e-06,0
21,1958,0.604,44,0.9896661111111111,3.2518583623186714e-05,1
22,2058,0,100,0.9891383333333333,0.0003733354150062951,0
23,2158,0,100,0.9886105555555555,0.00011437427245255094,0
24,2258,0,100,0.9880827777777778,9.0786877726714e-05,0
25,2358,0,100,0.987555,3.3365727840646284e-05,0
26,2458,0,100,0.9870272222222223,2.9513714343920584e-05,0
27,2558,0,100,0.9864994444444445,1.8062991211991176e-05,0
28,2586,0.748,28,0.9863516666666666,1.8949153026629313e-05,1
29,2686,0,100,0.9858238888888889,0.00023234100017361926,0
30,2786,0,100,0.9852961111111112,6.393428251612932e-05,0
31,2886,0,100,0.9847683333333334,2.2655554976154234e-05,0
32,2986,0,100,0.9842405555555556,1.9036385492654517e-05,0
33,3086,0,100,0.9837127777777778,0.00038149181999870053,0
34,3186,0,100,0.983185,0.00017425160767743365,0
35,3286,0,100,0.9826572222222222,7.26590447811759e-05,0
36,3386,0,100,0.9821294444444444,4.605134554367396e-05,0
37,3486,0,100,0.9816016666666667,0.0001393966069281305,0
38,3586,0,100,0.9810738888888889,3.875792865983385e-05,0
